t;feature;CO;lat;lon;feature_names;NO2;O3;SO2;CH4
2025-08-24;0.0;0.0355865694582462;-7.284553080280922;112.75565625391995;feature_0;2.6300906029064208e-05;0.1165557950735092;0.00041619862895458937;
2025-08-25;0.0;0.0283108856528997;-7.284553080280922;112.75565625391995;feature_0;1.3839275197824463e-05;0.1172975376248359;9.493565448792653e-05;
2025-08-26;0.0;;-7.284553080280922;112.75565625391995;feature_0;5.204962508287281e-05;0.1168680340051651;-0.0009238578495569528;
2025-08-27;0.0;;-7.284553080280922;112.75565625391995;feature_0;6.014893733663485e-05;0.1162212714552879;0.00017605289758648723;
2025-08-28;0.0;0.028844766318798;-7.284553080280922;112.75565625391995;feature_0;3.538468081387691e-05;0.1166965439915657;-5.568273536482593e-06;
2025-08-29;0.0;0.0221068207174539;-7.284553080280922;112.75565625391995;feature_0;;0.1129889190196991;;
2025-08-30;0.0;0.0264819487929344;-7.284553080280922;112.75565625391995;feature_0;2.835103441611864e-05;0.1149160414934158;0.0001395963627146557;
2025-08-31;0.0;;-7.284553080280922;112.75565625391995;feature_0;9.429975762031972e-06;0.1172650679945945;-0.00022224817075766623;
2025-09-01;0.0;;-7.284553080280922;112.75565625391995;feature_0;8.941195119405165e-06;0.1158959195017814;-0.00011348940461175516;
2025-09-02;0.0;;-7.284553080280922;112.75565625391995;feature_0;2.016812504734844e-05;0.1142046451568603;-0.00011595747491810472;
2025-09-03;0.0;0.0178507044911384;-7.284553080280922;112.75565625391995;feature_0;1.919776332215406e-05;0.1146741807460784;-0.0002708091924432665;
2025-09-04;0.0;0.0228754095733165;-7.284553080280922;112.75565625391995;feature_0;1.765116030583158e-05;0.1144502162933349;-0.00024931662483140826;1866.9864501953125
2025-09-05;0.0;0.0353527888655662;-7.284553080280922;112.75565625391995;feature_0;5.050236723036505e-05;0.1136253699660301;-0.0005023319972679019;
2025-09-06;0.0;;-7.284553080280922;112.75565625391995;feature_0;3.3886986784636974e-05;0.1138302236795425;-0.0002828868164215237;
2025-09-07;0.0;0.035700537264347;-7.284553080280922;112.75565625391995;feature_0;3.775005825445987e-05;0.1133093759417533;-0.00032296671997755766;
2025-09-08;0.0;;-7.284553080280922;112.75565625391995;feature_0;;0.1132226884365081;;
2025-09-09;0.0;0.0220485366880893;-7.284553080280922;112.75565625391995;feature_0;3.521736289258115e-05;0.1159214749932289;7.809660746715963e-05;
2025-09-10;0.0;;-7.284553080280922;112.75565625391995;feature_0;3.4751006751321256e-05;0.1156764477491378;0.0004640993429347873;
